Premier League,Burnley VS Fulham,x2,1.23,17:30,N/A,2025-12-13,Final odd: 66.33,N/A,lmyrounl81206561,tipsbet_combo_tips
Ligue 1,Metz VS PSG,2,1.23,18:00,N/A,2025-12-13,Final odd: 66.33,N/A,ppehryoc290121441,tipsbet_combo_tips
Bundesliga,Frankfurt VS Augsburg,1x,1.21,14:30,N/A,2025-12-13,Final odd: 66.33,N/A,fwhylqme41302101,tipsbet_combo_tips
Serie A,Atalanta VS Cagliari,1,1.33,19:45,N/A,2025-12-13,Final odd: 66.33,N/A,duspouvz280263913,tipsbet_combo_tips
,,,,,N/A,2025-12-13,Final odd: 66.33,N/A,fjtbzpwl101100495,tipsbet_combo_tips
Premiership,Dundee Utd VS Motherwell,over 1.5,1.22,15:00,N/A,2025-12-13,Final odd: 66.33,N/A,pnsdtkkx206038095,tipsbet_combo_tips
LaLiga,Atl. Madrid VS Valencia,1,1.28,13:00,N/A,2025-12-13,Final odd: 66.33,N/A,ymlesxxj289232031,tipsbet_combo_tips
Liga BIH,Zeljeznicar VS Radnik B.,1 or 2,1.20,15:00,N/A,2025-12-13,Final odd: 66.33,N/A,awuscfbi13138190,tipsbet_combo_tips
Cyprus League,APOEL VS Krasava,1,1.20,16:00,N/A,2025-12-13,Final odd: 66.33,N/A,kxjnsaax29125689,tipsbet_combo_tips
Super League,Levadiakos VS AEL Larissa,1,1.34,15:00,N/A,2025-12-13,Final odd: 66.33,N/A,ptuabhxz157921733,tipsbet_combo_tips
NB 1.,Nyiregyhaza VS Gyor,x2,1.22,13:00,N/A,2025-12-13,Final odd: 66.33,N/A,suzhdagh260464395,tipsbet_combo_tips
Ligat ha Al,H.B. Sheva VS Netanya,1,1.,17:30,N/A,2025-12-13,Final odd: 66.33,N/A,dsdrqwbx102358542,tipsbet_combo_tips
Eredivisie,Groningen VS FC Volendam,1,1.,17:45,N/A,2025-12-13,Final odd: 66.33,N/A,vrqellaj314303760,tipsbet_combo_tips
Liga Portugal,Nacional VS Tondela,under 3.5,1.,15:30,N/A,2025-12-13,Final odd: 66.33,N/A,fgaxqniz168584523,tipsbet_combo_tips
Superliga,FC Rapid B. VS Otelul,1x,1.,18:30,N/A,2025-12-13,Final odd: 66.33,N/A,jfnvtyzc82840977,tipsbet_combo_tips
Ligue 1,Angers VS Nantes,under 3.5,1.20,19:45,?,2025-12-12,Final odd: 23.15,...,fdkovsik239065161,tipsbet_combo_tips
Bundesliga,U. Berlin VS RB Leipzig,x2,1.24,19:30,?,2025-12-12,Final odd: 23.15,...,vmyibwxm172396239,tipsbet_combo_tips
Serie A,Lecce VS Pisa,under 3.5,1.20,19:45,?,2025-12-12,Final odd: 23.15,...,kjjvcezq221211439,tipsbet_combo_tips
,,,,,,2025-12-12,Final odd: 23.15,[],vnajixmr250716560,tipsbet_combo_tips
LaLiga,Real S. VS Girona,1x,1.20,20:00,?,2025-12-12,Final odd: 23.15,...,pfelwmcb140562446,tipsbet_combo_tips
HNL,Vukovar 1991 VS Varazdin,under 3.5,1.21,17:00,?,2025-12-12,Final odd: 23.15,...,wsgkzosx162394263,tipsbet_combo_tips
Liga Portugal 2,Oliveirense VS Chaves,2,1.74,18:00,?,2025-12-12,Final odd: 23.15,...,touwkmls197801709,tipsbet_combo_tips
Superliga,CFR Cluj VS C.M. Ciuc,1,1.23,18:30,?,2025-12-12,Final odd: 23.15,...,xodogksi83952163,tipsbet_combo_tips
Super Lig,Kasimpasa VS Genclerbirligi,1x,1.27,17:00,?,2025-12-12,Final odd: 23.15,...,riqvpxwz142701928,tipsbet_combo_tips
