SPA,Celta Vigo vs Barcelona,X2,1.27,21:00,,2025-11-09,,N/A,nlndkmew219902453,venasbet_acca
SPA,Rayo Vallecano vs Real Madrid,2,1.30,16:15,,2025-11-09,,N/A,xxxfgmbm202547606,venasbet_acca
NED,G.A. Eagles vs Feyenoord,2,1.30,20:00,,2025-11-09,,N/A,ezzaazix36001198,venasbet_acca
ITA,Inter vs Lazio,1,1.30,20:45,,2025-11-09,,N/A,vywjgcuu152710855,venasbet_acca
ITA,AS Roma vs Udinese,1X,1.40,18:00,,2025-11-09,,N/A,zknfluqh104192879,venasbet_acca
FRA,Lyon vs PSG,X2,1.40,20:45,,2025-11-09,,N/A,xylajail83223626,venasbet_acca
EPL,Manchester City vs Liverpool,BTTS/GG,1.20,17:30,,2025-11-09,,N/A,yowimhoo26126399,venasbet_acca
EPL,Brentford vs Newcastle,Over 1.5,1.27,15:00,,2025-11-09,,N/A,ooelfngm226353951,venasbet_acca
SPA,Atl. Madrid vs Levante,1,1.20,N/A,3:1,2025-11-08,,Won,ojhbovwo54718934,venasbet_acca
ITA,Parma vs AC Milan,X2,1.20,N/A,2:2,2025-11-08,,Won,txtqmece89218053,venasbet_acca
GER,Union Berlin vs Bayern Munich,2,1.40,N/A,2:2,2025-11-08,,Lost,mxmrfroe307611276,venasbet_acca
GER,Hamburger SV vs Dortmund,X2,1.27,N/A,1:1,2025-11-08,,Won,rzcwboyn105996342,venasbet_acca
FRA,Marseille vs Brest,1,1.30,N/A,3:0,2025-11-08,,Won,ielewddr152101314,venasbet_acca
EPL,Chelsea vs Wolves,1,1.45,N/A,3:0,2025-11-08,,Won,slocrnhi278909978,venasbet_acca
EPL,Sunderland vs Arsenal,2,1.30,N/A,2:2,2025-11-08,,Lost,otrezouk5732330,venasbet_acca
EPL,Tottenham vs Manchester Utd,Over 1.5,1.30,N/A,2:2,2025-11-08,,...,nstexgye247594701,venasbet_acca
